;marca;preco
49;Cadeira Gamer Husky Gaming Hailstorm, Preto e Vermelho, Com Almofadas, Reclinável, Descanso de Braço 2D - HHA-BR;R$ 899,99
50;Cadeira Gamer Prizi Infinity, até 120KG, Escritório, Azul;R$ 509,59
51;Cadeira Gamer Husky Gaming Hailstorm, Preto e Branco, Com Almofadas, Reclinável, Descanso de Braço 2D - HHA-BW;R$ 824,99
52;Cadeira Gamer XT Racer Defender, Até 120kg, Com Almofadas, Reclinável, Descanso de Braço 3D, Preto - XTR-034;R$ 1.299,99
53;Cadeira Gamer Thunderx3 TGC12 Profissional, Até 120kg, Com Almofadas, Reclinável, Descanso de Braço 2D, Rosa e Preto - 78203;R$ 1.199,99
54;Cadeira Gamer Mymax MX5, Até 150kg, Com Almofadas, Reclinável, Descanso de Braço 2D, Preto e Vermelho - MGCH-MX5/RD;R$ 684,99
55;Cadeira Gamer Husky Gaming Blizzard, Preto e Branco, Com Almofadas, Reclinável, Descanso de Braço 2D - HBL-BW;R$ 899,99
56;Cadeira Gamer, XT Racer Draco, Reclinável Ergonômica, Tecido Polyester, Preto e Azul.;R$ 2.023,12
57;Cadeira Gamer Corsair T3 Rush, Até 120Kg, Apoio de Braços 4D, com Almofadas, Reclinável, Cilindro de Gás Classe 4, Cinza - CF-9010031-WW;R$ 1.899,99
58;Cadeira Gamer Vinik Rocket, 120kg, Ajuste de altura e inclinação Preto - CGR10PT;R$ 659,99
59;Cadeira Gamer Prizi JX-1039PU, Até 120Kg, Ajustável, Com Almofadas, Roxa;R$ 439,00
60;Cadeira Gamer Husky Gaming Snow, Preto e Azul, Cilindro de Gás Classe 4, Base em Metal, Roda em Nylon - HSN-BB;R$ 659,99
61;Cadeira Gamer Mymax MX0, Até 120Kg, Giratória, Preto e Azul;R$ 381,65
62;Cadeira Gamer Mymax Mx5, Peso Suportado até 150Kg, Giratória, Preto e verde;R$ 679,15
63;Cadeira Gamer MyMax, Giratoria, Preto -  MX12;R$ 806,65
64;Cadeira Gamer Mymax MX8, Até 150Kg, Giratória, Preto e Azul;R$ 594,15
65;Cadeira Gamer ThunderX3 EC3, Até 120 kg,  Preto - 67998;R$ 1.139,99
66;Cadeira Gamer DT3 Gamma Fabric, Até 130 Kg, Com Almofadas, Reclinável, Descanso de Braço 3D, Preto - 13491-8;R$ 1.249,99
67;Cadeira Gamer Husky Gaming Blizzard, Preto e Azul, Com Almofadas, Reclinável, Descanso de Braço 2D - HBL-BB;R$ 749,99
